"X.Class.....anage.Class","X.Genus.....anage.Genus","X.Species.....anage.Species","X.Common.name.....anage.Common.name","X.Regen_present.....rep.0..length.anage.Species..","X.Limb_regen.....rep.0..length.anage.Species..","X.Oocyte_regen.....rep.0..length.anage.Species..","X.Tooth_replace.....rep.0..length.anage.Species..","X.Indeterminate_growth.....rep.0..length.anage.Species..","X.Negligible_senescence.....rep.0..length.anage.Species.."
"Amphibia","Osteopilus","vastus","Hispaniola giant treefrog",0,0,0,0,0,0
"Amphibia","Pachymedusa","dacnicolor","Mexican leaf frog",0,0,0,0,0,0
"Amphibia","Pseudacris","crucifer","Spring peeper",0,0,0,0,0,0
"Amphibia","Pseudis","paradoxa","Paradox frog",0,0,0,0,0,0
"Amphibia","Smilisca","baudinii","Mexican treefrog",0,0,0,0,0,0
"Amphibia","Smilisca","fodiens","Lowland burrowing treefrog",0,0,0,0,0,0
"Amphibia","Smilisca","phaeota","Masked treefrog",0,0,0,0,0,0
"Amphibia","Trachycephalus","venulosus","Marbled treefrog",0,0,0,0,0,0
"Amphibia","Leptodactylus","pentadactylus","Tungara frog",0,0,0,0,0,0
"Amphibia","Mantella","aurantiaca","Golden mantella",0,0,0,0,0,0
"Amphibia","Mantella","expectata","Blue-legged mantella",0,0,0,0,0,0
"Amphibia","Gastrophryne","carolinensis","Eastern narrow-mouthed toad",0,0,0,0,0,0
"Amphibia","Kaloula","pulchra","Malaysian narrowmouth toad",0,0,0,0,0,0
"Amphibia","Microhyla","ornata","Ornate narrow-mouthed frog",0,0,0,0,0,0
"Amphibia","Phrynomantis","bifasciatus","Red-banded frog",0,0,0,0,0,0
"Amphibia","Scaphiophryne","gottlebei","Rainbow frog",0,0,0,0,0,0
"Amphibia","Mixophyes","fleayi","Fleay's barred frog",0,0,0,0,0,0
"Amphibia","Pelobates","fuscus","Common Eurasian spadefoot toad",0,0,0,0,0,0
"Amphibia","Ranoidea","chloris","Orange-eyed tree frog",0,0,0,0,0,0
"Amphibia","Ranoidea","lesueurii","Lesueur's frog",0,0,0,0,0,0
"Amphibia","Ranoidea","pearsoniana","Pearson's green tree frog",0,0,0,0,0,0
"Amphibia","Agalychnis","callidryas","Red-eyed tree frog",0,0,0,0,0,0
"Amphibia","Agalychnis","spurrelli","Maroon-eyed tree frog",0,0,0,0,0,0
"Amphibia","Phyllomedusa","bicolor","Waxy treefrog",0,0,0,0,0,0
"Amphibia","Pipa","pipa","Surinam toad",0,0,0,0,0,0
"Amphibia","Xenopus","laevis","African clawed frog",0,0,0,0,0,0
"Amphibia","Pyxicephalus","adspersus","African bullfrog",0,0,0,0,0,0
"Amphibia","Tomopterna","delalandii","Cape sand frog",0,0,0,0,0,0
"Amphibia","Lithobates","catesbeianus","American bullfrog",0,0,0,0,0,0
"Amphibia","Lithobates","clamitans","Green frog",0,0,0,0,0,0
"Amphibia","Lithobates","pipiens","Northern leopard frog",0,0,0,0,0,0
"Amphibia","Lithobates","septentrionalis","Mink frog",0,0,0,0,0,0
"Amphibia","Lithobates","sylvaticus","Wood frog",0,0,0,0,0,0
"Amphibia","Lithobates","virgatipes","Carpenter frog",0,0,0,0,0,0
"Amphibia","Pelophylax","lessonae","Pool frog",0,0,0,0,0,0
"Amphibia","Pelophylax","nigromaculatus","Black-spotted frog",0,0,0,0,0,0
"Amphibia","Pelophylax","perezi","Italian green frog",0,0,0,0,0,0
"Amphibia","Pelophylax","ridibundus","Marsh frog",0,0,0,0,0,0
"Amphibia","Rana","amurensis","Siberian wood frog",0,0,0,0,0,0
"Amphibia","Rana","arvalis","Moor frog",0,0,0,0,0,0
"Amphibia","Rana","aurora","Red-legged frog, or California red-legged frog",0,0,0,0,0,0
"Amphibia","Rana","esculenta","Edible frog",0,0,0,0,0,0
"Amphibia","Rana","iberica","Iberian frog",0,0,0,0,0,0
"Amphibia","Rana","macrocnemis","Long-legged wood frog",0,0,0,0,0,0
"Amphibia","Rana","temporaria","European frog",0,0,0,0,0,0
"Amphibia","Scaphiopus","couchii","Couch's spadefoot",0,0,0,0,0,0
"Amphibia","Scaphiopus","holbrookii","Eastern spadefoot",0,0,0,0,0,0
"Amphibia","Spea","intermontana","Great Basin spadefoot",0,0,0,0,0,0
"Amphibia","Ambystoma","gracile","Northwestern salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","mabeei","Mabee's salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","macrodactylum","Long-toed salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","maculatum","Spotted salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","mexicanum","Axolotl",0,0,0,0,0,0
"Amphibia","Ambystoma","opacum","Marbled salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","rosaceum","Chihuahuan mole salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","talpoideum","Mole salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","texanum","Small-mouthed salamander",0,0,0,0,0,0
"Amphibia","Ambystoma","tigrinum","Tiger salamander",0,0,0,0,0,0
"Amphibia","Dicamptodon","ensatus","California giant salamander",0,0,0,0,0,0
"Amphibia","Amphiuma","means","Two-toed amphiuma",0,0,0,0,0,0
"Amphibia","Amphiuma","tridactylum","Three-toed amphiuma",0,0,0,0,0,0
"Amphibia","Andrias","davidianus","Chinese giant salamander",0,0,0,0,0,0
"Amphibia","Andrias","japonicus","Japanese giant salamander",0,0,0,0,0,0
"Amphibia","Cryptobranchus","alleganiensis","Hellbender",0,0,0,0,0,0
"Amphibia","Hynobius","boulengeri","Boulenger's oriental salamander",0,0,0,0,0,0
"Amphibia","Hynobius","leechii","Chinese salamander",0,0,0,0,0,0
"Amphibia","Hynobius","nebulosus","Clouded salamander",0,0,0,0,0,0
"Amphibia","Hynobius","retardatus","Japanese salamander",0,0,0,0,0,0
"Amphibia","Onychodactylus","fischeri","Long-tailed clawed salamander",0,0,0,0,0,0
"Amphibia","Onychodactylus","japonicus","Japanese clawed salamander",0,0,0,0,0,0
"Amphibia","Paradactylodon","mustersi","Afghanistan salamander",0,0,0,0,0,0
"Amphibia","Salamandrella","keyserlingii","Siberian salamander",0,0,0,0,0,0
"Amphibia","Aneides","aeneus","Green salamander",0,0,0,0,0,0
"Amphibia","Aneides","lugubris","Arboreal salamander",0,0,0,0,0,0
"Amphibia","Bolitoglossa","dofleini","Giant palm salamander",0,0,0,0,0,0
"Amphibia","Bolitoglossa","mexicana","Palm salamander",0,0,0,0,0,0
"Amphibia","Desmognathus","monticola","Seal salamander",0,0,0,0,0,0
"Amphibia","Desmognathus","ochrophaeus","Allegheny mountain dusky salamander",0,0,0,0,0,0
"Amphibia","Desmognathus","quadramaculatus","Black-bellied salamander",0,0,0,0,0,0
"Amphibia","Desmognathus","welteri","Black mountain salamander",0,0,0,0,0,0
"Amphibia","Ensatina","eschscholtzii","Ensatina",0,0,0,0,0,0
"Amphibia","Eurycea","lucifuga","Cave salamander",0,0,0,0,0,0
"Amphibia","Eurycea","rathbuni","Texas blind salamander",0,0,0,0,0,0
"Amphibia","Eurycea","spelaea","Grotto salamander",0,0,0,0,0,0
"Amphibia","Eurycea","wilderae","Blue ridge two-lined salamander",0,0,0,0,0,0
"Amphibia","Gyrinophilus","palleucus","Tennessee cave salamander",0,0,0,0,0,0
"Amphibia","Gyrinophilus","porphyriticus","Spring salamander",0,0,0,0,0,0
"Amphibia","Hemidactylium","scutatum","Four-toed salamander",0,0,0,0,0,0
"Amphibia","Phaeognathus","hubrichti","Red Hills salamander",0,0,0,0,0,0
"Amphibia","Plethodon","cinereus","Eastern red-backed salamander",0,0,0,0,0,0
"Amphibia","Plethodon","dunni","Dunn's salamander",0,0,0,0,0,0
"Amphibia","Plethodon","elongatus","Del Norte salamander",0,0,0,0,0,0
"Amphibia","Plethodon","glutinosus","Northern slimy salamander",0,0,0,0,0,0
"Amphibia","Plethodon","jordani","Red-cheeked salamander",0,0,0,0,0,0
"Amphibia","Plethodon","vehiculum","Western red-backed salamander",0,0,0,0,0,0
"Amphibia","Plethodon","yonahlossee","Yonahlossee salamander",0,0,0,0,0,0
"Amphibia","Pseudotriton","montanus","Mud salamander",0,0,0,0,0,0
"Amphibia","Pseudotriton","ruber","Red salamander",0,0,0,0,0,0
"Amphibia","Speleomantes","italicus","Italian cave salamander",0,0,0,0,0,0
"Amphibia","Necturus","maculosus","Mudpuppy",0,0,0,0,0,0
"Amphibia","Necturus","punctatus","Dwarf waterdog",0,0,0,0,0,0
"Amphibia","Proteus","anguinus","Olm",0,0,0,0,0,0
"Amphibia","Calotriton","asper","Pyrenean brook newt",0,0,0,0,0,0
"Amphibia","Cynops","ensicauda","Brown newt",0,0,0,0,0,0
"Amphibia","Cynops","pyrrhogaster","Japanese firebelly newt",0,0,0,0,0,0
"Amphibia","Ichthyosaura","alpestris","Laureutis alpine salamander",0,0,0,0,0,0
"Amphibia","Lissotriton","boscai","Bosca's newt",0,0,0,0,0,0
"Amphibia","Lissotriton","vulgaris","Smooth newt",0,0,0,0,0,0
"Amphibia","Lyciasalamandra","fazilae","Fazila's salamander",0,0,0,0,0,0
"Amphibia","Notophthalmus","perstriatus","Striped newt",0,0,0,0,0,0
"Amphibia","Notophthalmus","viridescens","Eastern newt",0,0,0,0,0,0
"Amphibia","Pachytriton","brevipes","Tsitou newt",0,0,0,0,0,0
"Amphibia","Paramesotriton","chinensis","Asian newt",0,0,0,0,0,0
"Amphibia","Pleurodeles","poireti","Algerian newt",0,0,0,0,0,0
"Amphibia","Pleurodeles","waltl","Iberian ribbed newt",0,0,0,0,0,0
"Amphibia","Salamandra","atra","Golden alpine salamander",0,0,0,0,0,0
"Amphibia","Salamandra","salamandra","European fire salamander",0,0,0,0,0,0
"Amphibia","Salamandrina","perspicillata","Northern spectacled salamander",0,0,0,0,0,0
"Amphibia","Taricha","granulosa","Rough-skinned newt",0,0,0,0,0,0
"Amphibia","Taricha","rivularis","Red-bellied newt",0,0,0,0,0,0
"Amphibia","Taricha","torosa","California newt",0,0,0,0,0,0
"Amphibia","Triturus","carnifex","Italian crested newt",0,0,0,0,0,0
"Amphibia","Triturus","cristatus","Northern crested newt",0,0,0,0,0,0
"Amphibia","Triturus","marmoratus","Marbled newt",0,0,0,0,0,0
"Amphibia","Tylototriton","verrucosus","Mandarin salamander",0,0,0,0,0,0
"Amphibia","Siren","intermedia","Lesser siren",0,0,0,0,0,0
"Amphibia","Siren","lacertina","Greater siren",0,0,0,0,0,0
"Amphibia","Dermophis","mexicanus","Mexican burrowing caecilian",0,0,0,0,0,0
"Amphibia","Ichthyophis","kohtaoensis","Yellow-striped caecilian",0,0,0,0,0,0
"Amphibia","Typhlonectes","compressicauda","Cayenne caecilian",0,0,0,0,0,0
"Amphibia","Typhlonectes","natans","Aquatic caecilian",0,0,0,0,0,0
"Ascidiacea","Ciona","intestinalis","Vase tunicate",0,0,0,0,0,0
"Aves","Accipiter","cooperii","Cooper's hawk",0,0,0,0,0,0
"Aves","Accipiter","fasciatus","Brown goshawk",0,0,0,0,0,0
"Aves","Accipiter","gentilis","Northern goshawk",0,0,0,0,0,0
"Aves","Accipiter","nisus","Eurasian sparrowhawk",0,0,0,0,0,0
"Aves","Accipiter","novaehollandiae","Grey goshawk",0,0,0,0,0,0
"Aves","Accipiter","striatus","Sharp-shinned hawk",0,0,0,0,0,0
"Aves","Aegypius","monachus","Cinereous vulture",0,0,0,0,0,0
"Aves","Aquila","adalberti","Spanish imperial eagle",0,0,0,0,0,0
"Aves","Aquila","audax","Wedge-tailed eagle",0,0,0,0,0,0
"Aves","Aquila","chrysaetos","Golden eagle",0,0,0,0,0,0
"Aves","Aquila","fasciata","Bonelli's eagle",0,0,0,0,0,0
"Aves","Aquila","heliaca","Eastern imperical eagle",0,0,0,0,0,0
"Aves","Aquila","nipalensis","Steppe eagle",0,0,0,0,0,0
"Aves","Aquila","pomarina","Lesser spotted eagle",0,0,0,0,0,0
"Aves","Aquila","rapax","Tawny eagle",0,0,0,0,0,0
"Aves","Butastur","indicus","Grey-faced buzzard",0,0,0,0,0,0
"Aves","Buteo","buteo","Buzzard",0,0,0,0,0,0
"Aves","Buteo","jamaicensis","Red-tailed hawk",0,0,0,0,0,0
"Aves","Buteo","lagopus","Rough-legged hawk",0,0,0,0,0,0
"Aves","Buteo","lineatus","Red-shouldered hawk",0,0,0,0,0,0
"Aves","Buteo","platypterus","Broad-winged hawk",0,0,0,0,0,0
"Aves","Buteo","regalis","Ferruginous hawk",0,0,0,0,0,0
"Aves","Buteo","rufinus","Long-legged buzzard",0,0,0,0,0,0
"Aves","Buteo","solitarius","Hawaiian hawk",0,0,0,0,0,0
"Aves","Buteo","swainsoni","Swainson's hawk",0,0,0,0,0,0
"Aves","Buteogallus","anthracinus","Common black hawk",0,0,0,0,0,0
"Aves","Circaetus","cinereus","Brown snake eagle",0,0,0,0,0,0
"Aves","Circaetus","gallicus","Short-toed eagle",0,0,0,0,0,0
"Aves","Circus","aeruginosus","Western marsh harrier",0,0,0,0,0,0
"Aves","Circus","approximans","Swamp harrier",0,0,0,0,0,0
"Aves","Circus","cyaneus","Northern harrier",0,0,0,0,0,0
"Aves","Circus","macrourus","Pallid harrier",0,0,0,0,0,0
"Aves","Circus","pygargus","Montagu's harrier",0,0,0,0,0,0
"Aves","Elanus","axillaris","Black-shouldered kite",0,0,0,0,0,0
"Aves","Elanus","caeruleus","Black-winged kite",0,0,0,0,0,0
"Aves","Elanus","leucurus","White-tailed kite",0,0,0,0,0,0
"Aves","Geranoaetus","melanoleucus","Black-chested buzzard-eagle",0,0,0,0,0,0
"Aves","Gypaetus","barbatus","Bearded vulture",0,0,0,0,0,0
"Aves","Gypohierax","angolensis","Palm-nut vulture",0,0,0,0,0,0
"Aves","Gyps","africanus","White-backed vulture",0,0,0,0,0,0
"Aves","Gyps","bengalensis","White-rumped vulture, or Bengal vulture",0,0,0,0,0,0
"Aves","Gyps","coprotheres","Cape vulture",0,0,0,0,0,0
"Aves","Gyps","fulvus","Griffon vulture, or Eurasian griffon",0,0,0,0,0,0
"Aves","Haliaeetus","albicilla","White-tailed sea-eagle",0,0,0,0,0,0
"Aves","Haliaeetus","leucocephalus","Bald eagle",0,0,0,0,0,0
"Aves","Haliastur","indus","Brahminy kite",0,0,0,0,0,0
"Aves","Haliastur","sphenurus","Whistling kite",0,0,0,0,0,0
"Aves","Harpia","harpyja","Harpy eagle",0,0,0,0,0,0
"Aves","Harpyopsis","novaeguineae","New Guinea eagle",0,0,0,0,0,0
"Aves","Hieraaetus","morphnoides","Little eagle",0,0,0,0,0,0
"Aves","Ictinia","mississippiensis","Mississippi kite",0,0,0,0,0,0
"Aves","Kaupifalco","monogrammicus","Lizard buzzard",0,0,0,0,0,0
"Aves","Lophoictinia","isura","Square-tailed kite",0,0,0,0,0,0
"Aves","Milvus","migrans","Black kite",0,0,0,0,0,0
"Aves","Milvus","milvus","Red kite",0,0,0,0,0,0
"Aves","Necrosyrtes","monachus","Hooded vulture",0,0,0,0,0,0
"Aves","Neophron","percnopterus","Egyptian vulture",0,0,0,0,0,0
"Aves","Parabuteo","unicinctus","Harris's hawk",0,0,0,0,0,0
"Aves","Pernis","apivorus","European honey buzzard, or Western honey-buzzard",0,0,0,0,0,0
"Aves","Pithecophaga","jefferyi","Philippine eagle",0,0,0,0,0,0
"Aves","Rostrhamus","sociabilis","Snail kite",0,0,0,0,0,0
"Aves","Terathopius","ecaudatus","Bateleur",0,0,0,0,0,0
"Aves","Torgos","tracheliotus","Lappet-faced vulture",0,0,0,0,0,0
"Aves","Trigonoceps","occipitalis","White-headed vulture",0,0,0,0,0,0
"Aves","Cathartes","aura","Turkey vulture",0,0,0,0,0,0
"Aves","Coragyps","atratus","Black vulture",0,0,0,0,0,0
"Aves","Gymnogyps","californianus","California condor",0,0,0,0,0,0
"Aves","Sarcoramphus","papa","King vulture",0,0,0,0,0,0
"Aves","Vultur","gryphus","Andean condor",0,0,0,0,0,0
"Aves","Pandion","cristatus","Eastern osprey",0,0,0,0,0,0
"Aves","Pandion","haliaetus","Osprey",0,0,0,0,0,0
"Aves","Aix","galericulata","Mandarin duck",0,0,0,0,0,0
"Aves","Aix","sponsa","Wood duck",0,0,0,0,0,0
"Aves","Alopochen","aegyptiaca","Egyptian goose",0,0,0,0,0,0
"Aves","Anas","acuta","Northern pintail",0,0,0,0,0,0
"Aves","Anas","americana","American wigeon",0,0,0,0,0,0
"Aves","Anas","bahamensis","White-cheeked pintail",0,0,0,0,0,0
"Aves","Anas","castanea","Chestnut teal",0,0,0,0,0,0
"Aves","Anas","clypeata","Northern shoveler",0,0,0,0,0,0
"Aves","Anas","crecca","Green-winged teal",0,0,0,0,0,0
"Aves","Anas","cyanoptera","Cinnamon teal",0,0,0,0,0,0
"Aves","Anas","discors","Blue-winged teal",0,0,0,0,0,0
"Aves","Anas","fulvigula","Mottled duck",0,0,0,0,0,0
"Aves","Anas","gracilis","Grey teal",0,0,0,0,0,0
"Aves","Anas","laysanensis","Laysan duck",0,0,0,0,0,0
"Aves","Anas","penelope","Eurasian wigeon",0,0,0,0,0,0
"Aves","Anas","platyrhynchos","Mallard",0,0,0,0,0,0
"Aves","Anas","querquedula","Garganey",0,0,0,0,0,0
"Aves","Anas","rhynchotis","Australasian shoveler",0,0,0,0,0,0
"Aves","Anas","rubripes","American black duck",0,0,0,0,0,0
"Aves","Anas","strepera","Gadwall",0,0,0,0,0,0
"Aves","Anas","superciliosa","Pacific black duck",0,0,0,0,0,0
"Aves","Anser","albifrons","Greater white-fronted goose",0,0,0,0,0,0
"Aves","Anser","anser","Greylag goose",0,0,0,0,0,0
"Aves","Anser","brachyrhynchus","Pink-footed goose",0,0,0,0,0,0
"Aves","Anser","erythropus","Lesser white-fronted goose",0,0,0,0,0,0
"Aves","Anser","fabalis","Bean goose",0,0,0,0,0,0
"Aves","Aythya","affinis","Lesser scaup",0,0,0,0,0,0
"Aves","Aythya","americana","Redhead",0,0,0,0,0,0
"Aves","Aythya","australis","Hardhead",0,0,0,0,0,0
"Aves","Aythya","collaris","Ring-necked duck",0,0,0,0,0,0
"Aves","Aythya","ferina","Common pochard",0,0,0,0,0,0
"Aves","Aythya","fuligula","Tufted duck",0,0,0,0,0,0
"Aves","Aythya","marila","Greater scaup",0,0,0,0,0,0
"Aves","Aythya","valisineria","Canvasback",0,0,0,0,0,0
"Aves","Biziura","lobata","Musk duck",0,0,0,0,0,0
"Aves","Branta","bernicla","Brent goose",0,0,0,0,0,0
"Aves","Branta","canadensis","Canada goose",0,0,0,0,0,0
"Aves","Branta","hutchinsii","Cackling goose",0,0,0,0,0,0
"Aves","Branta","leucopsis","Barnacle goose",0,0,0,0,0,0
"Aves","Branta","sandvicensis","Hawaiian goose",0,0,0,0,0,0
"Aves","Bucephala","albeola","Bufflehead",0,0,0,0,0,0
"Aves","Bucephala","clangula","Common goldeneye",0,0,0,0,0,0
"Aves","Bucephala","islandica","Barrow's goldeneye",0,0,0,0,0,0
"Aves","Callonetta","leucophrys","Ringed teal",0,0,0,0,0,0
"Aves","Cereopsis","novaehollandiae","Cape barren goose",0,0,0,0,0,0
"Aves","Chen","caerulescens","Snow goose",0,0,0,0,0,0
"Aves","Chen","canagica","Emperor goose",0,0,0,0,0,0
"Aves","Chen","rossii","Ross's goose",0,0,0,0,0,0
"Aves","Chenonetta","jubata","Maned duck",0,0,0,0,0,0
"Aves","Clangula","hyemalis","Oldsquaw",0,0,0,0,0,0
"Aves","Cygnus","atratus","Black swan",0,0,0,0,0,0
"Aves","Cygnus","buccinator","Trumpeter swan",0,0,0,0,0,0
"Aves","Cygnus","columbianus","Tundra swan",0,0,0,0,0,0
"Aves","Cygnus","cygnus","Whooper swan",0,0,0,0,0,0
"Aves","Cygnus","olor","Mute swan",0,0,0,0,0,0
"Aves","Dendrocygna","autumnalis","Black-bellied whistling duck",0,0,0,0,0,0
"Aves","Dendrocygna","bicolor","Fulvous whistling duck",0,0,0,0,0,0
"Aves","Dendrocygna","eytoni","Plumed whistling duck",0,0,0,0,0,0
"Aves","Dendrocygna","viduata","White-faced whistling duck",0,0,0,0,0,0
"Aves","Histrionicus","histrionicus","Harlequin duck",0,0,0,0,0,0
"Aves","Lophodytes","cucullatus","Hooded merganser",0,0,0,0,0,0
"Aves","Malacorhynchus","membranaceus","Pink-eared duck",0,0,0,0,0,0
"Aves","Melanitta","fusca","White-winged scoter",0,0,0,0,0,0
"Aves","Melanitta","nigra","Black scoter",0,0,0,0,0,0
"Aves","Melanitta","perspicillata","Surf scoter",0,0,0,0,0,0
"Aves","Mergellus","albellus","Smew",0,0,0,0,0,0
"Aves","Mergus","merganser","Common merganser",0,0,0,0,0,0
"Aves","Mergus","serrator","Red-breasted merganser",0,0,0,0,0,0
"Aves","Netta","rufina","Red-crested pochard",0,0,0,0,0,0
"Aves","Oxyura","australis","Blue-billed duck",0,0,0,0,0,0
"Aves","Oxyura","jamaicensis","Ruddy duck",0,0,0,0,0,0
"Aves","Plectropterus","gambensis","Spur-winged goose",0,0,0,0,0,0
"Aves","Polysticta","stelleri","Steller's eider",0,0,0,0,0,0
"Aves","Somateria","fischeri","Spectacled eider",0,0,0,0,0,0
"Aves","Somateria","mollissima","Common eider",0,0,0,0,0,0
"Aves","Somateria","spectabilis","King eider",0,0,0,0,0,0
"Aves","Tadorna","tadorna","Common shelduck",0,0,0,0,0,0
"Aves","Tadorna","tadornoides","Australian shelduck",0,0,0,0,0,0
"Aves","Anseranas","semipalmata","Magpie goose",0,0,0,0,0,0
"Aves","Aegotheles","cristatus","Australian owlet-nightjar",0,0,0,0,0,0
"Aves","Aerodramus","terraereginae","Australian swiftlet",0,0,0,0,0,0
